VaMe,time
-0.1485,0.496
-0.0735,0.497
0.0337,0.498
0.12,0.499
0.1402,0.5
0.156,0.501
0.1275,0.502
0.1095,0.503
0.0915,0.504
0.0682,0.505
0.0607,0.506
0.06,0.507
0.0555,0.508
-0.0008,0.509
-0.054,0.51
-0.132,0.511
-0.1815,0.512
-0.1688,0.513
-0.1223,0.514
-0.057,0.515
-0.0173,0.516
0.0667,0.517
0.1335,0.518
0.1635,0.519
0.1567,0.52
0.1155,0.521
0.0825,0.522
0.0277,0.523
-0.012,0.524
-0.0675,0.525
-0.1013,0.526
-0.084,0.527
-0.039,0.528
0.0217,0.529
0.0772,0.53
0.1522,0.531
0.1815,0.532
0.195,0.533
0.1627,0.534
0.0502,0.535
-0.063,0.536
-0.1928,0.537
-0.2625,0.538
-0.27,0.539
-0.2198,0.54
-0.1538,0.541
-0.1785,0.542
-0.1973,0.543
-0.1965,0.544
-0.1035,0.545
0.0427,0.546
0.1012,0.547
0.189,0.548
0.2107,0.549
0.1927,0.55
0.189,0.551
0.1305,0.552
0.0952,0.553
0.03,0.554
0.0142,0.555
0.0382,0.556
0.0607,0.557
0.0945,0.558
0.045,0.559
0.0052,0.56
-0.0623,0.561
-0.1373,0.562
-0.1448,0.563
-0.093,0.564
0.0345,0.565
0.0742,0.566
0.1042,0.567
0.1492,0.568
0.141,0.569
0.1237,0.57
0.0157,0.571
-0.1268,0.572
-0.2806,0.573
-0.3443,0.574
-0.264,0.575
-0.1305,0.576
0.0435,0.577
0.1545,0.578
0.2175,0.579
0.216,0.58
0.1552,0.581
0.1012,0.582
0.0472,0.583
0.0352,0.584
0.0472,0.585
0.102,0.586
0.0982,0.587
0.0052,0.588
-0.0863,0.589
-0.2588,0.59
-0.3518,0.591
-0.3293,0.592
-0.24,0.593
-0.1088,0.594
-0.0555,0.595
0.024,0.596
0.0465,0.597
0.081,0.598
0.141,0.599
0.1275,0.6
0.1695,0.601
0.1897,0.602
0.2497,0.603
0.2797,0.604
0.2437,0.605
0.2107,0.606
0.0675,0.607
-0.0818,0.608
-0.2333,0.609
-0.3728,0.61
-0.3975,0.611
-0.261,0.612
-0.0436,0.613
0.1065,0.614
0.2265,0.615
0.2332,0.616
0.1447,0.617
0.0075,0.618
-0.1013,0.619
-0.1058,0.62
-0.0585,0.621
0.033,0.622
0.0937,0.623
0.1005,0.624
-0.0015,0.625
-0.1605,0.626
-0.3421,0.627
-0.4268,0.628
-0.2625,0.629
-0.0878,0.63
0.042,0.631
0.177,0.632
0.2587,0.633
0.312,0.634
0.3082,0.635
0.2745,0.636
0.2032,0.637
0.0915,0.638
-0.0263,0.639
-0.1088,0.64
-0.0833,0.641
-0.0218,0.642
0.0502,0.643
0.081,0.644
0.0195,0.645
-0.0405,0.646
-0.129,0.647
-0.2026,0.648
-0.2093,0.649
-0.1726,0.65
-0.075,0.651
-0.0038,0.652
0.0592,0.653
